Datum,Region_Name,Region_Id,Todesfaelle,Todesfaelle_gesamt
2020-W39,Mecklenburg-Vorpommern,13,0,20
2020-W39,Sachsen,14,7,235
2020-W39,Sachsen-Anhalt,15,1,66
2020-W39,Thüringen,16,1,190
2020-W40,Schleswig-Holstein,01,1,155
2020-W40,Hamburg,02,3,272
2020-W40,Niedersachsen,03,7,682
2020-W40,Bremen,04,0,59
2020-W40,Nordrhein-Westfalen,05,19,1867
2020-W40,Hessen,06,1,547
2020-W40,Rheinland-Pfalz,07,4,248
2020-W40,Baden-Württemberg,08,11,1883
2020-W40,Bayern,09,14,2658
2020-W40,Saarland,10,1,176
2020-W40,Berlin,11,3,224
2020-W40,Brandenburg,12,0,168
2020-W40,Mecklenburg-Vorpommern,13,0,20
2020-W40,Sachsen,14,6,241
2020-W40,Sachsen-Anhalt,15,1,67
2020-W40,Thüringen,16,1,191
2020-W41,Schleswig-Holstein,01,0,155
2020-W41,Hamburg,02,5,277
2020-W41,Niedersachsen,03,6,688
2020-W41,Bremen,04,1,60
2020-W41,Nordrhein-Westfalen,05,28,1895
2020-W41,Hessen,06,8,555
2020-W41,Rheinland-Pfalz,07,1,249
2020-W41,Baden-Württemberg,08,14,1897
2020-W41,Bayern,09,13,2671
2020-W41,Saarland,10,0,176
2020-W41,Berlin,11,3,227
2020-W41,Brandenburg,12,1,169
2020-W41,Mecklenburg-Vorpommern,13,0,20
2020-W41,Sachsen,14,8,249
2020-W41,Sachsen-Anhalt,15,0,67
2020-W41,Thüringen,16,0,191
2020-W42,Schleswig-Holstein,01,1,156
2020-W42,Hamburg,02,3,280
2020-W42,Niedersachsen,03,18,706
2020-W42,Bremen,04,3,63
2020-W42,Nordrhein-Westfalen,05,31,1926
2020-W42,Hessen,06,13,568
2020-W42,Rheinland-Pfalz,07,7,256
2020-W42,Baden-Württemberg,08,26,1923
2020-W42,Bayern,09,27,2698
2020-W42,Saarland,10,0,176
2020-W42,Berlin,11,5,232
2020-W42,Brandenburg,12,3,172
2020-W42,Mecklenburg-Vorpommern,13,1,21
2020-W42,Sachsen,14,9,258
2020-W42,Sachsen-Anhalt,15,3,70
2020-W42,Thüringen,16,8,199
2020-W43,Schleswig-Holstein,01,1,157
2020-W43,Hamburg,02,3,283
2020-W43,Niedersachsen,03,18,724
2020-W43,Bremen,04,1,64
2020-W43,Nordrhein-Westfalen,05,71,1997
2020-W43,Hessen,06,34,602
2020-W43,Rheinland-Pfalz,07,5,261
2020-W43,Baden-Württemberg,08,42,1965
2020-W43,Bayern,09,28,2726
2020-W43,Saarland,10,1,177
2020-W43,Berlin,11,9,241
2020-W43,Brandenburg,12,12,184
2020-W43,Mecklenburg-Vorpommern,13,0,21
2020-W43,Sachsen,14,20,278
2020-W43,Sachsen-Anhalt,15,3,73
2020-W43,Thüringen,16,2,201
2020-W44,Schleswig-Holstein,01,11,168
2020-W44,Hamburg,02,2,285
2020-W44,Niedersachsen,03,23,747
2020-W44,Bremen,04,8,72
2020-W44,Nordrhein-Westfalen,05,130,2127
2020-W44,Hessen,06,44,646
2020-W44,Rheinland-Pfalz,07,17,278
2020-W44,Baden-Württemberg,08,56,2021
2020-W44,Bayern,09,67,2793
2020-W44,Saarland,10,14,191
2020-W44,Berlin,11,13,254
2020-W44,Brandenburg,12,11,195
2020-W44,Mecklenburg-Vorpommern,13,2,23
2020-W44,Sachsen,14,43,321
2020-W44,Sachsen-Anhalt,15,5,78
2020-W44,Thüringen,16,6,207
2020-W45,Schleswig-Holstein,01,25,193
2020-W45,Hamburg,02,19,304
2020-W45,Niedersachsen,03,70,817
2020-W45,Bremen,04,14,86
2020-W45,Nordrhein-Westfalen,05,195,2322
2020-W45,Hessen,06,99,745
2020-W45,Rheinland-Pfalz,07,31,309
2020-W45,Baden-Württemberg,08,80,2101
2020-W45,Bayern,09,103,2896
2020-W45,Saarland,10,7,198
2020-W45,Berlin,11,32,286
2020-W45,Brandenburg,12,20,215
2020-W45,Mecklenburg-Vorpommern,13,6,29
2020-W45,Sachsen,14,78,399
2020-W45,Sachsen-Anhalt,15,11,89
2020-W45,Thüringen,16,12,219
2020-W46,Schleswig-Holstein,01,19,212
2020-W46,Hamburg,02,7,311
2020-W46,Niedersachsen,03,83,900
2020-W46,Bremen,04,8,94
2020-W46,Nordrhein-Westfalen,05,282,2604
2020-W46,Hessen,06,111,856
2020-W46,Rheinland-Pfalz,07,45,354
2020-W46,Baden-Württemberg,08,145,2246
2020-W46,Bayern,09,224,3120
2020-W46,Saarland,10,15,213
2020-W46,Berlin,11,66,352
2020-W46,Brandenburg,12,20,235
2020-W46,Mecklenburg-Vorpommern,13,9,38
